case,instance,sha256,arm,rep,status,objective,iterations,nodes,solve_seconds,commit,machine
MILP f2gap40400,f2gap40400.mps.gz,f592e8d127e1f3c5d36d65b05ddcb88ad5bf34d23de7e22941fd050221314a74,off,3,optimal,20772.0,0,542,3.6303631,3630cba,"Intel64 Family 6 Model 186 Stepping 3, GenuineIntel"
MILP f2gap40400,f2gap40400.mps.gz,f592e8d127e1f3c5d36d65b05ddcb88ad5bf34d23de7e22941fd050221314a74,basic,3,optimal,20772.0,0,542,3.3798459,3630cba,"Intel64 Family 6 Model 186 Stepping 3, GenuineIntel"
MILP f2gap40400,f2gap40400.mps.gz,f592e8d127e1f3c5d36d65b05ddcb88ad5bf34d23de7e22941fd050221314a74,detailed,3,optimal,20772.0,0,542,3.435337,3630cba,"Intel64 Family 6 Model 186 Stepping 3, GenuineIntel"
MILP f2gap40400,f2gap40400.mps.gz,f592e8d127e1f3c5d36d65b05ddcb88ad5bf34d23de7e22941fd050221314a74,main,4,optimal,20772.0,0,542,6.2212958,3630cba,"Intel64 Family 6 Model 186 Stepping 3, GenuineIntel"
MILP f2gap40400,f2gap40400.mps.gz,f592e8d127e1f3c5d36d65b05ddcb88ad5bf34d23de7e22941fd050221314a74,off,4,optimal,20772.0,0,542,3.4763182,3630cba,"Intel64 Family 6 Model 186 Stepping 3, GenuineIntel"
MILP f2gap40400,f2gap40400.mps.gz,f592e8d127e1f3c5d36d65b05ddcb88ad5bf34d23de7e22941fd050221314a74,basic,4,optimal,20772.0,0,542,3.4671045,3630cba,"Intel64 Family 6 Model 186 Stepping 3, GenuineIntel"
MILP f2gap40400,f2gap40400.mps.gz,f592e8d127e1f3c5d36d65b05ddcb88ad5bf34d23de7e22941fd050221314a74,detailed,4,optimal,20772.0,0,542,3.4050255,3630cba,"Intel64 Family 6 Model 186 Stepping 3, GenuineIntel"
MILP f2gap40400,f2gap40400.mps.gz,f592e8d127e1f3c5d36d65b05ddcb88ad5bf34d23de7e22941fd050221314a74,main,5,optimal,20772.0,0,542,3.5072277,3630cba,"Intel64 Family 6 Model 186 Stepping 3, GenuineIntel"
MILP f2gap40400,f2gap40400.mps.gz,f592e8d127e1f3c5d36d65b05ddcb88ad5bf34d23de7e22941fd050221314a74,off,5,optimal,20772.0,0,542,3.3616539,3630cba,"Intel64 Family 6 Model 186 Stepping 3, GenuineIntel"
MILP f2gap40400,f2gap40400.mps.gz,f592e8d127e1f3c5d36d65b05ddcb88ad5bf34d23de7e22941fd050221314a74,basic,5,optimal,20772.0,0,542,3.4012421,3630cba,"Intel64 Family 6 Model 186 Stepping 3, GenuineIntel"
MILP f2gap40400,f2gap40400.mps.gz,f592e8d127e1f3c5d36d65b05ddcb88ad5bf34d23de7e22941fd050221314a74,detailed,5,optimal,20772.0,0,542,3.529098,3630cba,"Intel64 Family 6 Model 186 Stepping 3, GenuineIntel"
