instance,instance_sha256,rows,columns,nonzeros,status,message,our_objective,published_objective,absolute_gap,relative_gap,matches_published,independently_verified,verifier_message,passed,objective_offset,differs_by_objective_constant,wall_seconds,solver_seconds,iterations,algorithm,git_commit,machine,timestamp_utc,solver_options
sc50b,bfc47ffcf8f037552130a75142a203dc768d82d15c3b7b9f718c444ffa472f15,50,48,118,optimal,,-69.99999999936568,-70.0,6.343157110677566e-10,9.061653015253666e-12,1,1,,1,0.0,0,0.350754,0.0008154,13,ipm,fa7eb86-dirty,Windows-AMD64,2026-09-17T17:08:59+00:00,algorithm=ipm
scagr25,7bac79b91dec46966af26a236d593c823f1e61eb055597426365e4f6bc36df76,471,500,1554,optimal,,-14753433.060768176,-14753433.061,0.0002318248152732849,1.571327936452315e-11,1,0,REJECTED: 1 of 11 checks failed,0,0.0,0,0.266381,0.0141533,59,ipm,fa7eb86-dirty,Windows-AMD64,2026-09-17T17:08:59+00:00,algorithm=ipm
scagr7,2170c16fd0cc04a823172c1564e89593e75aac5225e2c2f893a6837ba0b26085,129,140,420,optimal,,-2331389.8243309837,-2331389.2548,0.5695309834554791,2.4428824242150705e-07,1,1,,1,0.0,0,0.342448,0.005198,53,ipm,fa7eb86-dirty,Windows-AMD64,2026-09-17T17:08:59+00:00,algorithm=ipm
scfxm1,3e602523ca64bb4fd7387da7eca577d964e08d7c04326c59937a0d58add7de25,330,457,2589,numerical_error,"the interior-point iteration stalled after 167 iterations (steps 9.7e-10 / 7.6e-10); the model may be infeasible or unbounded, which this method does not certify",0.0,18416.759028,18416.759028,1.0,0,,,0,0.0,0,0.407026,0.1557002,167,ipm,fa7eb86-dirty,Windows-AMD64,2026-09-17T17:08:59+00:00,algorithm=ipm
scfxm2,64d44da9d2e6329705e73b1e083f52a7560124c13af4c67ff60d55b0a46b0f0e,660,914,5183,numerical_error,"the iterate stopped being finite at iteration 61; the best earlier iterate does not meet the feasibility tolerances (relative gap 1.6e+02, infeasibility 3.6e-01 / 9.5e-01, merit 5.1e+02)",0.0,36660.261565,36660.261565,1.0,0,,,0,0.0,0,0.436905,0.1025718,61,ipm,fa7eb86-dirty,Windows-AMD64,2026-09-17T17:08:59+00:00,algorithm=ipm
scfxm3,515b442feba7cb583e03d4466da264782d898cc69093848052a7fa98ba4eac7b,990,1371,7777,numerical_error,"the iterate stopped being finite at iteration 53; the best earlier iterate does not meet the feasibility tolerances (relative gap 1.3e+02, infeasibility 3.6e-01 / 9.5e-01, merit 5.1e+02)",0.0,54901.25455,54901.25455,1.0,0,,,0,0.0,0,0.399912,0.1192866,53,ipm,fa7eb86-dirty,Windows-AMD64,2026-09-17T17:08:59+00:00,algorithm=ipm
scorpion,39b61cae042ce4adffb441faec77f5cc003fa725baa25edfb1738aef93a83c5d,388,358,1426,optimal,,1878.1248229306054,1878.1248227,2.3060533749230672e-07,1.2278488346732328e-10,1,1,,1,0.0,0,0.27369,0.0095483,15,ipm,fa7eb86-dirty,Windows-AMD64,2026-09-17T17:08:59+00:00,algorithm=ipm
scrs8,33b12d5e3d07b47a8b837ab0bf445fbfb5980af5c825bf049c23e71fb3faf026,490,1169,3182,optimal,,904.2969538055194,904.29998619,0.003032384480661676,3.3532948434929535e-06,0,1,,0,0.0,0,0.36367,0.0300798,22,ipm,fa7eb86-dirty,Windows-AMD64,2026-09-17T17:08:59+00:00,algorithm=ipm
scsd1,8c4aac4987a81ef66715b5cb2debdb1993afe6cb5e2a29f32556a03802bf55f5,77,760,2388,optimal,,8.66666670947058,8.6666666743,3.5170579337773233e-08,4.058143766168777e-09,1,1,,1,0.0,0,0.282956,0.0067943,9,ipm,fa7eb86-dirty,Windows-AMD64,2026-09-17T17:08:59+00:00,algorithm=ipm
scsd6,f3da742cfa24cfadb99d510847ea1f7a361ba61537d4c2900c09b674912a5891,147,1350,4316,optimal,,50.50000010048946,50.500000078,2.2489459183816507e-08,4.453358247342636e-10,1,1,,1,0.0,0,0.287105,0.0086164,11,ipm,fa7eb86-dirty,Windows-AMD64,2026-09-17T17:08:59+00:00,algorithm=ipm
